"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","class","producer","data_arc","first_obs","last_obs","condition_code","rms","two_body","A1","A2","A3","DT"
2337248,"337248 (2000 RH60)",337248,,,Y,N,20.11,,,,,,,0.846,,0.025,25.2,,2460000.5,60000,2023-02-25.0,J2000,0.5514,0.8259,0.371,19.65,177.87,354.41,148.37,1.28,1.313,2459887.51,2022-11-04.0,274,0.751,0.176,68.4,3.68,ATE,"Otto Matic",7712,2000-09-07,2021-10-19,1,.43429,,,-3.5e-14,,
2337252,"337252 (2000 SD8)",337252,,,Y,N,20.82,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.3138,1.129,0.775,6.55,19.07,211.61,342.61,1.48,0.8218,2460021.67,2023-03-18.1,438,1.2,0.0866,33.7,3.5,APO,"Otto Matic",6625,2000-09-20,2018-11-10,0,.49694,,,,,
2337345,"337345 (2001 KO20)",337345,,,Y,N,20.66,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.1214,1.22,1.072,14.19,75.25,66.36,136.00,1.37,0.7315,2459814.58,2022-08-23.0,492,1.35,0.148,57.6,3.67,AMO,"Otto Matic",7005,2001-05-19,2020-07-23,0,.45306,,,,,
2337557,"337557 (2001 SF262)",337557,,,Y,N,18.64,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.2339,1.691,1.296,43.34,347.28,10.07,256.45,2.09,0.4481,2460231.61,2023-10-14.1,803,2.2,0.291,113,3.36,AMO,"Otto Matic",7294,2001-09-21,2021-09-10,0,.58008,,,,,
2337558,"337558 (2001 SG262)",337558,,,Y,Y,19.33,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.5830,1.961,0.818,4.82,359.04,100.26,260.51,3.10,0.3589,2460277.75,2023-11-29.2,1e+03,2.75,0.0301,11.7,2.12,APO,"Otto Matic",6959,2001-08-26,2020-09-14,0,.56153,,,,,
2337866,"337866 (2001 WL15)",337866,,,Y,N,18.80,,,,,,,,,,8.955,,2460000.5,60000,2023-02-25.0,J2000,0.4755,1.986,1.042,6.95,112.16,14.53,190.87,2.93,0.3521,2460480.83,2024-06-19.3,1.02e+03,2.8,0.0619,24.1,2.16,AMO,"Otto Matic",7324,2000-07-31,2020-08-19,0,.34689,,,,,
2338049,"338049 (2002 NY31)",338049,,,Y,N,17.35,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.5459,2.212,1.004,40.93,118.06,282.82,60.11,3.42,0.2996,2459799.87,2022-08-08.3,1.2e+03,3.29,0.316,123,2.99,APO,"Otto Matic",7545,2002-06-14,2023-02-09,0,.51281,,,,,
2338172,"338172 (2002 RV112)",338172,,,Y,N,17.46,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.4905,2.219,1.131,16.50,196.02,199.76,62.35,3.31,0.2981,2459791.33,2022-07-30.8,1.21e+03,3.31,0.147,57.1,2.16,AMO,"Otto Matic",7447,2002-09-07,2023-01-27,0,.55292,,,,,
2338176,"338176 (2002 RC118)",338176,,,Y,N,16.84,,,,,,,,,,9.98,,2460000.5,60000,2023-02-25.0,J2000,0.5651,2.956,1.286,27.98,208.88,222.18,0.38,4.63,0.1939,2459998.54,2023-02-23.0,1.86e+03,5.08,0.374,145,1.36,AMO,"Otto Matic",7416,2002-09-06,2022-12-26,0,.47036,,,,,
2338292,"338292 (2002 UA31)",338292,,,Y,N,19.11,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.4872,0.7987,0.410,30.71,209.31,358.66,335.98,1.19,1.381,2460017.89,2023-03-14.3,261,0.714,0.191,74.4,3.77,ATE,"Otto Matic",7329,2002-10-31,2022-11-24,0,.48054,,,,,
2338347,"338347 (2002 XG4)",338347,,,Y,N,18.31,,,,,,,1.420,,0.046,,,2460000.5,60000,2023-02-25.0,J2000,0.4779,2.268,1.184,20.98,259.12,238.52,314.66,3.35,0.2885,2460157.63,2023-08-01.1,1.25e+03,3.42,0.316,123,2.13,AMO,"Otto Matic",7231,2002-12-02,2022-09-19,0,.43513,,,,,
2338567,"338567 (2003 SJ84)",338567,,,Y,N,19.49,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.2836,1.738,1.245,36.68,183.05,307.13,67.80,2.23,0.4302,2459842.89,2022-09-20.3,837,2.29,0.349,136,2.96,AMO,"Otto Matic",5856,2003-09-19,2019-10-01,0,.56804,,,,,
2339492,"339492 (2005 GQ21)",339492,,,Y,N,18.37,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.2153,1.426,1.119,47.03,203.24,143.64,56.42,1.73,0.5786,2459902.99,2022-11-19.4,622,1.7,0.159,61.9,3.78,AMO,"Otto Matic",14102,1983-10-26,2022-06-05,0,.54558,,,,,
2339714,"339714 (2005 ST1)",339714,,,Y,N,20.36,,,,,,,,,,8.68,,2460000.5,60000,2023-02-25.0,J2000,0.3709,1.451,0.913,20.23,7.56,80.67,300.94,1.99,0.5637,2460105.27,2023-06-09.7,639,1.75,0.127,49.6,3.41,APO,"Otto Matic",10432,1991-10-02,2020-04-24,0,.51338,,,,,
2339715,"339715 (2005 SS4)",339715,,,Y,N,18.97,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.7517,1.46,0.362,14.58,28.66,192.25,9.16,2.56,0.5589,2459984.11,2023-02-08.6,644,1.76,0.19,73.9,2.43,APO,"Otto Matic",8861,1998-09-19,2022-12-23,0,.72673,,,,,
